"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 19:26:27 IST 2020","Sun Dec 13 19:26:27 IST 2020","207","","Open the url","","Open the url","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""",""
"passed","Mon Dec 14 01:06:32 IST 2020","Mon Dec 14 01:06:35 IST 2020","3407","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should click cars navigation button ","should click cars navigation button ",""
"passed","Sun Dec 13 19:26:28 IST 2020","Sun Dec 13 19:26:29 IST 2020","435","","Open the url","","Open the url","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""",""
"passed","Mon Dec 14 01:51:14 IST 2020","Mon Dec 14 01:51:14 IST 2020","977","","Volvo Car Safety","","Volvo Car Safety","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
"passed","Mon Dec 14 01:06:21 IST 2020","Mon Dec 14 01:06:26 IST 2020","4365","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should close navigation panel","should close navigation panel",""
"passed","Mon Dec 14 01:06:26 IST 2020","Mon Dec 14 01:06:27 IST 2020","884","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should allow privacy Setting","should allow privacy Setting",""
"passed","Sun Dec 13 19:58:29 IST 2020","Sun Dec 13 19:58:30 IST 2020","762","","Open the url","","Open the url","should allow privacy Setting","should allow privacy Setting",""
"passed","Mon Dec 14 01:51:18 IST 2020","Mon Dec 14 01:51:26 IST 2020","8598","","Volvo Car Safety","","Volvo Car Safety","should click on watch the story button and video should run","should click on watch the story button and video should run",""
"passed","Sun Dec 13 19:26:19 IST 2020","Sun Dec 13 19:26:20 IST 2020","536","","Open the url","","Open the url","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
"passed","Sun Dec 13 19:26:18 IST 2020","Sun Dec 13 19:26:18 IST 2020","513","","Open the url","","Open the url","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
